,bodypart1 x,bodypart1 y,bodypart1 z,bodypart2 x,bodypart2 y,bodypart2 z,bodypart3 x,bodypart3 y,bodypart3 z
20,165.1452329437413,547.5607367375968,2671.8667202815886,136.8507782335396,539.208410239087,2618.7059318741617,174.94579068743218,456.8251467063875,2932.6894746877288
21,167.57554008579373,580.7827582391465,2677.2633443751265,139.41168079747,576.9154770307005,2656.1174318462217,164.03077721059387,498.123455391063,2376.7956896793485
22,168.54014502367585,601.2004596326487,2645.9988112476035,140.42508178354697,606.9316635974903,2678.8161961567284,171.23751802369236,563.9496819309676,2960.361442858924
23,170.59371762689563,612.9379369694361,2619.9632687150797,141.28539305333058,612.4069695732297,2636.2112475656572,169.942811039946,579.6038866371998,2927.047087109722
24,169.8066174633949,609.9985550687235,2546.963196309136,139.30000073538537,605.1406248629592,2537.028212555002,169.1280888988393,541.626671252573,2835.4334454814934
25,169.84892089288283,618.6247538746698,2530.7240298515735,139.46523813264596,611.7712907650294,2511.8028754362967,167.24120105651915,568.6658126254981,2818.488946087464
26,166.3797682598478,601.8309518181552,2426.267371700731,137.51061880204801,593.2689965048171,2400.126965271818,165.34141706685676,504.96954901537435,2699.4068934810016
27,164.6238466314452,594.7851511252638,2370.699326480538,136.33092293920473,586.393908580817,2345.273691482157,164.45607704920184,464.3327275359391,2630.989103544235
28,165.9308567396204,600.4260041731538,2381.9425818688424,136.7548395012192,590.6595259066659,2351.4058186598995,165.97278853004784,474.9165235952661,2642.177150022382
29,165.57546889571472,595.581269051638,2377.055661011568,137.26468183455358,587.8372494681739,2352.906774249061,166.41711358281236,474.5192719223768,2641.9436633144605
30,166.31146455815372,599.167981999159,2407.7406395141716,137.27958039528826,590.58663105157,2380.5347181758916,165.00862139560164,492.37867532190455,2676.955721454044
31,166.69004383164088,597.0314955667066,2426.639461072017,137.12159684627846,586.0113491721502,2392.90291898265,167.17635234883585,465.7412358245212,2682.9245464622854
32,166.8617164630198,592.0020860667476,2420.2611166812676,137.39481555729313,582.8719339942681,2397.5138574389657,164.31541543867584,501.7754805663641,2697.2972240065083
33,167.19061110754345,594.4479771639449,2445.2969919135853,137.69071685656996,583.1141419425364,2414.6837490191047,164.6866489408694,474.30931331095076,2708.2220289300167
34,168.9957056049776,608.2715761053603,2489.7217007452764,139.26640258382758,598.5089611490305,2463.7829420588578,167.0552729283752,507.4400713309338,2761.871813568345
35,168.1884067437128,613.9731067201694,2500.419666280358,139.38611923774044,608.6561984620025,2489.8281750930432,164.44184583724473,555.0958503239583,2790.746191063667
36,167.31078069461964,619.185510304585,2479.4977327125016,138.98172055095415,610.6477486085157,2449.2661776757277,164.7792013728582,557.2184549887252,2759.6821342098797
37,167.22750480656643,610.6103110878162,2448.141117136948,138.00736219132787,600.2999955739087,2413.6353618508897,165.770771633292,525.2677928988713,2720.8254353306893
38,167.65520660603738,596.4795073909282,2425.4230947043447,138.13613717182167,585.5939206463141,2399.158433771986,173.13344632522166,445.767644077388,2675.2621132689883
39,166.78485813261528,589.0083318458056,2432.442238005351,138.47364087251296,582.2287995430931,2416.9620001994417,173.9097668719992,453.9203357791746,2694.645291685977
40,167.2573339638184,601.6635182294281,2482.5765698051064,138.86169429303575,594.2706367296895,2471.0377193044715,169.27958374703005,503.31162771488056,2762.190843770827
41,167.02550514034576,608.5949406386354,2491.240037946786,139.00919351294206,602.6997292534603,2485.047408588936,167.37048210469587,517.4073590303178,2775.675103879896
42,166.32207499574417,609.953257232419,2465.085860663096,138.21526121223593,601.5542971266755,2440.180589953193,163.54338642040005,541.993606720327,2746.6980514888915
43,167.02748219042599,608.64613836392,2453.7070445725312,138.6457226339635,600.9618345593758,2433.335095866105,165.42704971328368,541.9310571152517,2737.7235107241136
44,167.4486361516982,598.2833489158276,2439.304087930278,138.85387085462602,591.7716837021146,2427.78461978303,174.50657508005978,502.6701697393618,2719.342659278125
45,163.51919728867892,595.6343122488754,2450.1566926961304,138.34166133452666,595.0056857327122,2464.0716238334276,180.48174369189147,466.0470820927928,2727.450677037023
46,162.21888542923196,619.4478000874514,2529.162833156227,138.3896287846957,623.3742650389659,2557.8987448749704,190.3300433428833,467.14085298978614,2799.0014306505946
47,160.40397478045819,634.2689194485044,2552.3769338547672,137.9302252710304,637.1360730568434,2578.555295556027,171.68837526604744,586.3249684001573,2861.643852747169
